,Id,Period,Time,Type,Goal,Assist,Season,Minute,Seconds,Seconds_all
12,190306,3,11:05,-, Vlastislav Brabec, Miloš Loužecký,2017/2018,11,5,665
0,197391,1,08:07,-, Jan Valeš, Vojtěch Vašák,2017/2018,8,7,487
1,197391,2,03:01,-, Josef Liška, David Valeš,2017/2018,3,1,181
2,197391,2,11:29,-, Filip Lukeš, David Valeš,2017/2018,11,29,689
3,197391,3,01:23,-, Patrik Toulec, Josef Mimráček,2017/2018,1,23,83
4,197391,3,03:51,-, Vojtěch Vašák, Patrik Toulec,2017/2018,3,51,231
5,197391,3,06:49,-, Vojtěch Vašák, David Valeš,2017/2018,6,49,409
6,197391,3,09:07,-, Patrik Toulec, Jan Valeš,2017/2018,9,7,547
0,197395,1,04:46,-, Martin Matoška, Lukáš Bárta,2017/2018,4,46,286
1,197395,1,09:35,-, Lukáš Bárta, Filip Friedberger,2017/2018,9,35,575
2,197395,2,08:09,-, Martin Zelenka, Martin Reichelt,2017/2018,8,9,489
3,197395,3,05:52,-, Martin Zelenka, Martin Reichelt,2017/2018,5,52,352
4,197395,3,09:46,-, Petr Brabenec, Jiří Havlan,2017/2018,9,46,586
0,190313,1,03:47,-, Tomáš Čajan, Filip Fišer,2017/2018,3,47,227
1,190313,1,04:49,-, Jiří Ureš,,2017/2018,4,49,289
2,190313,1,10:42,-, Michal Petrásek, Aleš Bambas,2017/2018,10,42,642
