,Id,Period,Time,Type,Goal,Assist,Season
4,69442,2. část,04:04,-,74 Jakub Svoboda,18 Michal Kalista,2012/2013
5,69442,2. část,07:38,-,2 David Soukup,26 Jiří Kroulík,2012/2013
6,69442,2. část,08:42,PS,74 Jakub Svoboda,,2012/2013
7,69442,3. část,01:48,PP,27 Dalibor Koman,55 Vladimír Pinc,2012/2013
8,69442,3. část,04:48,-,18 Michal Kalista,74 Jakub Svoboda,2012/2013
9,69442,3. část,05:52,-,54 Jakub Košler,36 Tomáš Jančovič,2012/2013
10,69442,3. část,06:20,-,5 David Louda,74 Jakub Svoboda,2012/2013
0,69398,1. část,02:36,-,22 Daniel Lerch,,2012/2013
1,69398,3. část,10:55,-,7 Radek Hosnedl,15 Jan Klesnil,2012/2013
0,69401,2. část,01:28,PS,12 Josef Bradáč,,2012/2013
1,69401,2. část,02:01,-,13 Lukáš Ruda,77 Roman Tauš,2012/2013
2,69401,2. část,07:37,-,4 Martin Švehla,77 Roman Tauš,2012/2013
3,69401,3. část,02:17,-,12 Josef Bradáč,19 Jan Maťátko,2012/2013
0,72096,1. část,03:41,-,50 Lukáš Průcha,,2012/2013
1,72096,2. část,07:10,-,13 Tomáš Jelínek,24 Martin Uher,2012/2013
2,72096,3. část,09:07,-,13 Tomáš Jelínek,24 Martin Uher,2012/2013
0,73820,3. část,01:31,-,8 David Martynek,10 Jakub Lacina,2012/2013
0,73818,2. část,05:27,-,11 Martin Karlovský,,2012/2013
1,73818,2. část,09:06,-,11 Martin Karlovský,6 Lukáš Fietzek,2012/2013
2,73818,3. část,05:58,PP,11 Martin Karlovský,28 Ondřej Daniš,2012/2013
0,76508,1. část,05:52,-,8 Michal Mora,,2012/2013
1,76508,2. část,04:19,-,5 František Burian,10 Pavel Zeman,2012/2013
0,76505,1. část,04:15,-,33 Jakub Horáček,16 Jakub Zalubil,2012/2013
1,76505,1. část,04:44,-,33 Jakub Horáček,16 Jakub Zalubil,2012/2013
2,76505,2. část,09:59,PP,18 Petr Mikysek,8 Marek Bíl,2012/2013
3,76505,2. část,11:04,PP,6 Jan Kalenda,16 Jakub Zalubil,2012/2013
0,77841,1. část,04:59,-,74 Jakub Svoboda,,2012/2013
1,77841,1. část,10:29,-,9 Václav Bendl,74 Jakub Svoboda,2012/2013
2,77841,2. část,01:11,-,12 Aleš Hrdina,74 Jakub Svoboda,2012/2013
3,77841,2. část,02:23,-,9 Václav Bendl,55 Vladimír Pinc,2012/2013
4,77841,2. část,03:46,-,12 Aleš Hrdina,55 Vladimír Pinc,2012/2013
5,77841,2. část,11:14,-,26 Jiří Kroulík,54 Jakub Košler,2012/2013
6,77841,3. část,03:41,-,2 David Soukup,12 Aleš Hrdina,2012/2013
