,Id,Period,Time,Type,Goal,Assist,Season
4,59990,3. část,01:14,-,22 Jakub Nováček,17 Adam Štefánik,2011/2012
5,59990,3. část,01:36,-,8 Filip Weber,21 Štěpán Trousil,2011/2012
6,59990,3. část,09:11,-,21 Štěpán Trousil,7 Miloš Zapadlo,2011/2012
7,59990,3. část,11:41,SH,17 Adam Štefánik,4 Jakub Mádr,2011/2012
0,61490,2. část,02:23,-,21 Štěpán Trousil,48 Roman Žampach,2011/2012
1,61490,3. část,08:13,-,17 Adam Štefánik,5 Ladislav Tyll,2011/2012
0,61483,1. část,00:12,-,22 Jakub Nováček,5 Ladislav Tyll,2011/2012
1,61483,1. část,03:21,-,77 Ctibor Chmelař,86 Zdeněk Karásek,2011/2012
2,61483,1. část,08:29,-,77 Ctibor Chmelař,11 Václav Rides,2011/2012
3,61483,2. část,10:39,-,22 Jakub Nováček,5 Ladislav Tyll,2011/2012
4,61483,3. část,02:27,-,77 Ctibor Chmelař,11 Václav Rides,2011/2012
0,64575,1. část,01:20,-,86 Zdeněk Karásek,7 Miloš Zapadlo,2012/2013
1,64575,2. část,03:27,SH,77 Ctibor Chmelař,49 Filip Trousil,2012/2013
2,64575,3. část,06:59,-,22 Jakub Nováček,7 Miloš Zapadlo,2012/2013
0,64573,1. část,06:43,-,3 Martin Elišák,7 Miloš Zapadlo,2012/2013
1,64573,1. část,07:30,-,5 Ladislav Tyll,22 Jakub Nováček,2012/2013
2,64573,2. část,03:30,-,22 Jakub Nováček,17 Adam Jablonský,2012/2013
3,64573,3. část,06:20,PP,22 Jakub Nováček,17 Adam Jablonský,2012/2013
0,66191,1. část,09:41,-,13 Jakub Majerčin,86 Zdeněk Karásek,2012/2013
1,66191,2. část,03:12,SH,8 Filip Weber,,2012/2013
2,66191,2. část,09:34,-,77 Ctibor Chmelař,,2012/2013
3,66191,3. část,05:01,-,12 Adam Bardún,77 Ctibor Chmelař,2012/2013
4,66191,3. část,08:19,-,7 Miloš Zapadlo,3 Martin Elišák,2012/2013
5,66191,3. část,10:34,-,17 Adam Jablonský,5 Ladislav Tyll,2012/2013
6,66191,3. část,10:58,-,13 Jakub Majerčin,3 Martin Elišák,2012/2013
0,66193,2. část,03:19,-,17 Adam Jablonský,49 Filip Trousil,2012/2013
1,66193,2. část,07:19,-,17 Adam Jablonský,49 Filip Trousil,2012/2013
2,66193,3. část,06:39,-,7 Miloš Zapadlo,22 Jakub Nováček,2012/2013
0,67674,2. část,01:12,-,7 Miloš Zapadlo,49 Filip Trousil,2012/2013
1,67674,3. část,11:00,PP,7 Miloš Zapadlo,86 Zdeněk Karásek,2012/2013
0,69444,1. část,06:31,-,48 Roman Žampach,17 Adam Jablonský,2012/2013
1,69444,2. část,01:05,-,7 Miloš Zapadlo,49 Filip Trousil,2012/2013
2,69444,2. část,09:49,-,7 Miloš Zapadlo,,2012/2013
3,69444,3. část,02:49,-,48 Roman Žampach,,2012/2013
4,69444,3. část,07:38,-,17 Adam Jablonský,13 Jakub Majerčin,2012/2013
0,69442,1. část,11:35,-,17 Adam Jablonský,48 Roman Žampach,2012/2013
0,69398,1. část,05:46,SH,48 Roman Žampach,17 Adam Jablonský,2012/2013
1,69398,2. část,11:27,-,5 Ladislav Tyll,17 Adam Jablonský,2012/2013
2,69398,3. část,10:46,-,17 Adam Jablonský,,2012/2013
0,69401,1. část,09:28,-,21 Štěpán Trousil,3 Martin Elišák,2012/2013
1,69401,2. část,04:05,-,13 Jakub Majerčin,17 Adam Jablonský,2012/2013
2,69401,3. část,07:34,SH,7 Miloš Zapadlo,17 Adam Jablonský,2012/2013
0,72096,1. část,03:14,-,13 Jakub Majerčin,,2012/2013
1,72096,1. část,03:55,-,7 Miloš Zapadlo,49 Filip Trousil,2012/2013
2,72096,1. část,07:59,-,8 Filip Weber,,2012/2013
0,73820,1. část,10:56,-,7 Miloš Zapadlo,77 Ctibor Chmelař,2012/2013
1,73820,2. část,08:13,-,13 Jakub Majerčin,4 Jakub Mádr,2012/2013
2,73820,2. část,11:48,OG,13 Luboš Fischer,,2012/2013
3,73820,3. část,08:36,-,7 Miloš Zapadlo,77 Ctibor Chmelař,2012/2013
0,73818,1. část,02:17,-,48 Roman Žampach,5 Ladislav Tyll,2012/2013
1,73818,2. část,04:13,-,7 Miloš Zapadlo,77 Ctibor Chmelař,2012/2013
2,73818,3. část,04:50,-,7 Miloš Zapadlo,77 Ctibor Chmelař,2012/2013
0,76508,3. část,02:12,-,5 Ladislav Tyll,21 Štěpán Trousil,2012/2013
1,76508,3. část,09:38,-,77 Ctibor Chmelař,21 Štěpán Trousil,2012/2013
0,76505,3. část,03:57,-,7 Miloš Zapadlo,,2012/2013
0,77839,3. část,04:05,-,7 Miloš Zapadlo,49 Filip Trousil,2012/2013
1,77839,3. část,04:38,-,77 Ctibor Chmelař,5 Ladislav Tyll,2012/2013
2,77839,3. část,08:14,-,77 Ctibor Chmelař,5 Ladislav Tyll,2012/2013
0,79499,2. část,04:42,-,7 Miloš Zapadlo,13 Jakub Majerčin,2012/2013
1,79499,2. část,06:58,-,86 Zdeněk Karásek,13 Jakub Majerčin,2012/2013
2,79499,2. část,08:24,-,77 Ctibor Chmelař,,2012/2013
